"","ID","solidarity_behaviour","solidarity_attitude","treatment_video","c_0031_w1","c_0031_w2","c_0031_w3","c_0032_w1","c_0032_w2","vignette3","vignette4","vignette5","vignette6","vignette1","vignette2","vignette3_w4","vignette4_w4","conjoint_choice1_exp3","conjoint_rating1_exp3","conjoint_rating2_exp3","conjoint_choice2_exp3","conjoint_rating3_exp3","conjoint_rating4_exp3","conjoint_choice3_exp3","conjoint_rating5_exp3","conjoint_rating6_exp3","conjoint_choice1_exp7","conjoint_rating1_exp7","conjoint_rating2_exp7","conjoint_choice2_exp7","conjoint_rating3_exp7","conjoint_rating4_exp7"
"34",5288741476065,0.4,1,1,NA,142,NA,NA,133,156,162,178,161,NA,NA,NA,NA,2,10,10,1,10,10,1,10,10,NA,NA,NA,NA,NA,NA
"35",5288745405195,0,0,0,NA,65,NA,NA,133,124,104,47,181,NA,NA,NA,NA,1,10,7,1,10,7,1,7,7,NA,NA,NA,NA,NA,NA
"36",5288754542400,0.2,0,0,NA,144,NA,NA,46,5,71,98,121,NA,NA,NA,NA,2,5,10,1,10,7,1,10,5,NA,NA,NA,NA,NA,NA
"37",5288763798270,0,0,1,NA,122,NA,NA,107,42,137,135,155,NA,NA,NA,NA,2,0,8,1,8,0,1,6,0,NA,NA,NA,NA,NA,NA
"38",5288806043010,1,1,1,NA,72,NA,NA,62,173,181,25,54,NA,NA,NA,NA,1,9,6,1,9,6,1,10,8,NA,NA,NA,NA,NA,NA
"39",5288864070195,1,0,1,NA,104,NA,NA,135,142,187,24,81,NA,NA,NA,NA,1,7,0,1,5,3,1,7,0,NA,NA,NA,NA,NA,NA
"40",5288902227585,0,0,0,NA,52,NA,NA,14,178,120,66,103,NA,NA,NA,NA,1,5,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"41",5289366379140,0.4,1,1,NA,33,NA,NA,167,90,3,145,11,NA,NA,NA,NA,2,5,7,1,6,5,2,5,7,NA,NA,NA,NA,NA,NA
"42",5289459966270,0,1,0,NA,28,NA,NA,22,21,90,87,176,NA,NA,NA,NA,1,8,6,1,8,6,2,4,7,NA,NA,NA,NA,NA,NA
"43",5289492928770,0,1,1,NA,8,NA,NA,43,90,192,96,87,NA,NA,NA,NA,2,3,6,1,7,2,1,6,2,NA,NA,NA,NA,NA,NA
"44",5289510069270,0,0,1,NA,75,NA,NA,80,134,83,105,98,NA,NA,NA,NA,1,7,6,2,5,7,2,5,7,NA,NA,NA,NA,NA,NA
"45",5289569375400,0.6,1,1,NA,121,NA,NA,45,14,9,175,75,NA,NA,NA,NA,2,5,9,1,8,6,1,7,6,NA,NA,NA,NA,NA,NA
"46",5289611620140,0,0,0,NA,18,NA,NA,10,88,89,38,134,NA,NA,NA,NA,1,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"47",5289661696770,0,0,0,NA,76,NA,NA,129,31,115,162,55,NA,NA,NA,NA,2,0,0,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"48",5289664333770,0.2,1,0,NA,102,NA,NA,171,165,178,23,109,NA,NA,NA,NA,1,5,3,2,4,4,2,5,5,NA,NA,NA,NA,NA,NA
"49",5289893779140,1,1,0,NA,27,NA,NA,140,36,127,147,91,NA,NA,NA,NA,1,7,2,2,3,7,1,9,4,NA,NA,NA,NA,NA,NA
"50",5289897761010,0.4,0,0,NA,156,NA,NA,187,192,153,75,89,NA,NA,NA,NA,1,5,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"51",5289906964140,1,1,1,NA,186,NA,NA,76,54,165,110,43,NA,NA,NA,NA,1,8,2,2,1,9,2,4,6,NA,NA,NA,NA,NA,NA
"52",5289945266565,1,1,1,NA,36,NA,NA,40,3,72,150,110,NA,NA,NA,NA,1,10,2,1,6,4,1,5,5,NA,NA,NA,NA,NA,NA
"53",5290032274380,0,0,1,NA,71,NA,NA,13,12,190,88,50,NA,NA,NA,NA,2,5,5,1,5,5,2,5,7,NA,NA,NA,NA,NA,NA
"54",5290065170955,1,0,1,NA,28,NA,NA,112,86,164,168,153,NA,NA,NA,NA,2,5,10,2,5,10,2,5,10,NA,NA,NA,NA,NA,NA
"55",5290082271900,0.6,1,0,NA,171,NA,NA,6,178,102,23,177,NA,NA,NA,NA,1,8,3,1,8,6,2,5,8,NA,NA,NA,NA,NA,NA
"56",5290133785695,1,1,1,NA,112,NA,NA,76,118,95,161,73,NA,NA,NA,NA,2,6,7,1,6,5,2,4,6,NA,NA,NA,NA,NA,NA
"57",5290340803380,0,0,0,NA,171,NA,NA,27,17,121,115,114,NA,NA,NA,NA,1,5,4,1,8,7,1,9,5,NA,NA,NA,NA,NA,NA
"58",5290359262380,0.8,0,0,NA,9,NA,NA,172,78,151,96,82,NA,NA,NA,NA,2,9,9,1,9,9,2,9,9,NA,NA,NA,NA,NA,NA
"59",5290488435825,1,1,1,NA,103,NA,NA,108,57,30,77,48,NA,NA,NA,NA,2,5,10,1,10,5,2,5,10,NA,NA,NA,NA,NA,NA
"60",5290494962400,1,0,0,NA,2,NA,NA,21,57,9,101,174,NA,NA,NA,NA,1,2,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"61",5290520093010,0,0,0,NA,18,NA,NA,191,172,72,155,43,NA,NA,NA,NA,1,10,1,2,5,10,1,9,6,NA,NA,NA,NA,NA,NA
"62",5290538472900,0.6,0,0,NA,2,NA,NA,131,106,57,65,192,NA,NA,NA,NA,2,5,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
